label, timestamp
Coat, 7.974000
Crowd, 7.974000
Festival, 7.974000
Flyer, 7.974000
Human, 7.974000
Offroad, 7.974000
Overcoat, 7.974000
Paper, 7.974000
Parade, 7.974000
People, 7.974000
Person, 7.974000
Poster, 7.974000
Protest, 7.974000
Rally, 7.974000
Symbol, 7.974000
Transportation, 7.974000
Vehicle, 7.974000
Apparel, 8.475000
Carnival, 8.475000
Clothing, 8.475000
Coat, 8.475000
Crowd, 8.475000
Festival, 8.475000
Footwear, 8.475000
Human, 8.475000
Offroad, 8.475000
Parade, 8.475000
People, 8.475000
Person, 8.475000
Protest, 8.475000
Rally, 8.475000
Transportation, 8.475000
Vehicle, 8.475000
Apparel, 8.975000
Clothing, 8.975000
Crowd, 8.975000
Festival, 8.975000
Human, 8.975000
Leisure Activities, 8.975000
Offroad, 8.975000
Parade, 8.975000
People, 8.975000
Person, 8.975000
Protest, 8.975000
Rally, 8.975000
Transportation, 8.975000
Vehicle, 8.975000
Accessories, 9.476000
Accessory, 9.476000
Apparel, 9.476000
Cap, 9.476000
Clothing, 9.476000
Coat, 9.476000
Crowd, 9.476000
Hat, 9.476000
Human, 9.476000
Leisure Activities, 9.476000
Offroad, 9.476000
Parade, 9.476000
People, 9.476000
Person, 9.476000
Police, 9.476000
Rally, 9.476000
Sunglasses, 9.476000
Transportation, 9.476000
Vehicle, 9.476000
Apparel, 9.976000
Cap, 9.976000
Clothing, 9.976000
Coat, 9.976000
Crowd, 9.976000
Hat, 9.976000
Human, 9.976000
Jacket, 9.976000
Offroad, 9.976000
Parade, 9.976000
People, 9.976000
Person, 9.976000
Police, 9.976000
Rally, 9.976000
Transportation, 9.976000
Vehicle, 9.976000
Accessories, 10.477000
Accessory, 10.477000
Apparel, 10.477000
Cap, 10.477000
Clothing, 10.477000
Coat, 10.477000
Crowd, 10.477000
Hat, 10.477000
Helmet, 10.477000
Human, 10.477000
Jacket, 10.477000
Offroad, 10.477000
Parade, 10.477000
People, 10.477000
Person, 10.477000
Protest, 10.477000
Rally, 10.477000
Transportation, 10.477000
Vehicle, 10.477000
Apparel, 10.977000
Cap, 10.977000
Clothing, 10.977000
Coat, 10.977000
Crowd, 10.977000
Hat, 10.977000
Helmet, 10.977000
Human, 10.977000
Offroad, 10.977000
Parade, 10.977000
People, 10.977000
Person, 10.977000
Protest, 10.977000
Rally, 10.977000
Text, 10.977000
Transportation, 10.977000
Vehicle, 10.977000
Apparel, 11.478000
Baseball Cap, 11.478000
Cap, 11.478000
Clothing, 11.478000
Crowd, 11.478000
Hat, 11.478000
Helmet, 11.478000
Human, 11.478000
Offroad, 11.478000
Parade, 11.478000
People, 11.478000
Person, 11.478000
Protest, 11.478000
Rally, 11.478000
Transportation, 11.478000
Vehicle, 11.478000
Apparel, 11.978000
Audience, 11.978000
Cap, 11.978000
Clothing, 11.978000
Crowd, 11.978000
Festival, 11.978000
Hat, 11.978000
Helmet, 11.978000
Human, 11.978000
Offroad, 11.978000
Parade, 11.978000
People, 11.978000
Person, 11.978000
Protest, 11.978000
Rally, 11.978000
Text, 11.978000
Transportation, 11.978000
