detected-text, timestamp
TRAITORS, 136.102000
MAA, 136.102000
TRAITORS, 137.103000
Jhe Roberte, 137.103000
Sll, 137.103000
ML S, 137.103000
Ryan MILr, 137.103000
Damne Coney, 137.103000
TRAITORS, 137.103000
Jhe, 137.103000
Roberte, 137.103000
Sll, 137.103000
ML, 137.103000
S, 137.103000
Ryan, 137.103000
MILr, 137.103000
Damne, 137.103000
Coney, 137.103000
TRAITORS, 138.104000
Robert, 138.104000
MAA, 138.104000
Mllr, 138.104000
4311, 138.104000
TRAITORS, 138.104000
Robert, 138.104000
MAA, 138.104000
Mllr, 138.104000
4311, 138.104000
TRAITORS, 139.105000
79 Rabert, 139.105000
Pal Ryan, 139.105000
Mue ller, 139.105000
Coy, 139.105000
BER, 139.105000
TRAITORS, 139.105000
79, 139.105000
Rabert, 139.105000
Pal, 139.105000
Ryan, 139.105000
Mue ller, 139.105000
Coy, 139.105000
BER, 139.105000
